naslov,izvajalec,kliki,tezavnost,akordi
I Will Follow You Into The Dark,Death Cab for Cutie,7219620,intermediate,"['Am', 'C', 'F', 'G/B', 'G', 'E', 'Am/G', 'Fm', 'C/G', 'Am/E']"
Colder Weather,Zac Brown Band,1571713,intermediate,"['Bbdim7', 'G', 'D', 'Gadd9', 'A', 'Bm', 'D/F#', 'Em']"
You Belong With Me,Taylor Swift,967191,absolute beginner,"['G', 'D', 'Am', 'C']"
Give Me Love,Ed Sheeran,1859675,beginner,"['Am', 'F', 'C', 'Dm', 'G']"
Stitches,Shawn Mendes,1444824,beginner,"['Am', 'G', 'C', 'F']"
Wonderful World,Sam Cooke,1184466,beginner,"['G', 'Em', 'C', 'D', 'A7', 'D7']"
Comfortably Numb,Pink Floyd,804384,intermediate,"['Bm', 'A', 'G', 'Em', 'D', 'C', 'Am', 'F', 'Dm', 'Bb']"
Landslide,Stevie Nicks,814774,intermediate,"['C', 'G/B', 'Am7', 'D7/F#', 'Em', 'G', 'Am']"
What Hurts The Most,Rascal Flatts,1386146,intermediate,"['Em', 'D', 'Cadd9', 'Em7', 'C', 'G', 'Dsus4', 'D#m']"
Trouble,Coldplay,892413,intermediate,"['G', 'Em', 'Bm', 'F', 'Am', 'A', 'F#m7', 'GM7', 'F#m']"
Set A Fire,United Pursuit,921983,beginner,"['C', 'F', 'Am']"
Dirty Paws,Of Monsters and Men,1560702,beginner,"['Am', 'C', 'Fmaj7', 'G/B', 'G']"
Have You Ever Seen The Rain,Creedence Clearwater Revival,8948100,intermediate,"['Am', 'F/C', 'C', 'G', 'F', 'C/B', 'Am/G']"
Heroes,David Bowie,1432548,absolute beginner,"['D', 'G', 'C', 'Am', 'Em']"
Amazing Grace My Chains Are Gone,Chris Tomlin,864031,intermediate,"['D', 'D/F#', 'G', 'A', 'Em']"
Im Yours,Jason Mraz,4146220,intermediate,"['B', 'F#', 'G#m', 'E', 'C#9/F']"
Born To Die,Lana Del Rey,1400752,beginner,"['C', 'Em', 'D', 'Cmaj7', 'G']"
Rhythm Of Love,Plain White T's,921786,beginner,"['G', 'D', 'Em', 'C', 'G7', 'B7']"
Little Black Submarines,The Black Keys,1260301,beginner,"['Am', 'G', 'D', 'A', 'B', 'C']"
Sign Of The Times,Harry Styles,2593033,beginner,"['F', 'Dm', 'C', 'C7', 'Bb', 'Am', 'G', 'G7']"
A Sky Full Of Stars,Coldplay,912216,intermediate,"['Am7', 'A7sus4', 'C/F', 'C', 'G/B', 'F', 'G', 'Am']"
Januari,Glenn Fredly,801674,advanced,"['F', 'G', 'Am', 'G/B', 'C', 'F/A', 'Em', 'Dm', 'Em/C', 'Ab', 'Eb/G', 'Eb', 'Db', 'Cm', 'Gb', 'Fm', 'Bb', 'Bb7', 'Dm7b5', 'G7', 'Bbm', 'Gm', 'Bdim']"
Daughters,John Mayer,831490,intermediate,"['E7sus4/B', 'Em7', 'Em7/A', 'D6', 'E7', 'D', 'Bm', 'D/F#', 'D9', 'Gm/D', 'A7/D', 'Gm11', 'A13']"
Bless The Broken Road,Rascal Flatts,1541243,beginner,"['C', 'G', 'Am', 'F']"
Hey Jude,Joe Anderson,1887550,intermediate,"['D', 'A', 'A7', 'D7', 'G', 'G/F#', 'Em7', 'C/E']"
Pupus,Dewa 19,1510757,advanced,"['D', 'G', 'G/F#', 'G/E', 'C', 'C/B', 'Am', 'Dsus4', 'Cmaj7', 'C/A', 'Cmaj', 'Am7', 'D/F#', 'C/E', 'G/D', 'A/C#', 'Cm', 'F#', 'E', 'B', 'A', 'F']"
